# sympair queue -- rows realizable by relocation-NAME correction alone.
# Generated by tools/sympair_queue.py (lane W7-SYMPAIR, from W2-ENGINE's charged.py/sweep.py).
# ⚠ A pair here is EITHER a wrong map name (fixable, pays) OR an ICF fold
#   (irreducible). The metric CANNOT separate them -- adjudicate on retail
#   bytes with tools/retail_callers.py using tgt_addr below.
# size_if_it_crosses = bytes this row adds to matched_code IF every pair is fixed.
# pair_class: FOLD_FANIN=irreducible ICF survivor · RECIPROCAL=transposed
#   map bijection (a fold cannot transpose across two addresses) ·
#   OURS_UNMAPPED=our callee has no retail address (identification backlog).
# map_arbitrary: target addr is in the map's own _bijection_arbitrary/_icf_arbitrary list.
size	fuzzy	mpn	class	pair_class	map_arbitrary	unit	categories	symbol	n_pairs	sites	tgt_addr	target_symbol	our_symbol
1836	99.96732	100.000	SYMPAIR_ONLY_2	FOLD_FANIN	no	default/system/rndobj/Rnd	engine	?PreInit@Rnd@@UAAXXZ	2	1	0x823d14c0	?insert@?$list@PAVCharClip@@V?$StlNodeAlloc@PAVCharClip@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@PAVCharClip@@U?$_Nonconst_traits@PAVCharClip@@@stlpmtx_std@@@2@U32@ABQAVCharClip@@@Z	?insert@?$list@P6AXXZV?$StlNodeAlloc@P6AXXZ@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@P6AXXZU?$_Nonconst_traits@P6AXXZ@stlpmtx_std@@@2@U32@ABQ6AXXZ@Z
1716	99.98834	100.000	SYMPAIR_ONLY_1	UNKNOWN	no	default/BandCharacter	engine	?AddObject@BandCharacter@@QAAXPAVObject@Hmx@@@Z	1	1	0x8227d020	?Link@?$ObjPtrList@VRndMesh@@VObjectDir@@@@AAAXViterator@1@PAUNode@1@@Z	?Link@?$ObjPtrList@VCharCollide@@VObjectDir@@@@AAAXViterator@1@PAUNode@1@@Z
1704	99.97652	100.000	SYMPAIR_ONLY_1	OURS_UNMAPPED	no	default/band3/bandtrack/Gem	game	?AddInstance@Gem@@QAAXVSymbol@@H@Z	1	2	0x827c9218	??__FTheLocale@@YAXXZ	?TickToSeconds@@YAMM@Z
1692	99.98818	100.000	SYMPAIR_ONLY_1	OURS_UNMAPPED	no	default/BandCamShot	engine	?PropSync@@YA_NAAUTarget@HamCamShot@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	1	1	0x822b4228	?UpdateTarget@Target@BandCamShot@@QAAXVSymbol@@PAV2@@Z	?UpdateTarget@Target@HamCamShot@@QAAXVSymbol@@PAV2@@Z
1652	99.95158	100.000	SYMPAIR_ONLY_4	FOLD_FANIN	no	default/RGUtl	engine	?RGGetChordName@@YAXPADHABVGameGem@@HH_N@Z	4	1	0x826c3888	??$?0H@?$StlNodeAlloc@V?$_List_node@H@stlpmtx_std@@@stlpmtx_std@@QAA@ABV?$StlNodeAlloc@H@1@@Z	??1GameGem@@QAA@XZ
1652	99.95158	100.000	SYMPAIR_ONLY_4	OURS_UNMAPPED	no	default/RGUtl	engine	?RGGetChordName@@YAXPADHABVGameGem@@HH_N@Z	4	1	-	lbl_82C78594	?gSlashNote@@3HA; reg r25->r27
1652	99.95158	100.000	SYMPAIR_ONLY_4	OURS_UNMAPPED	no	default/RGUtl	engine	?RGGetChordName@@YAXPADHABVGameGem@@HH_N@Z	4	1	-	lbl_82C78598	?gSlashString@@3HA; reg r26->r25
1652	99.95158	100.000	SYMPAIR_ONLY_4	OURS_UNMAPPED	no	default/RGUtl	engine	?RGGetChordName@@YAXPADHABVGameGem@@HH_N@Z	4	1	-	lbl_82C7859C	?gSlashFret@@3HA; reg r27->r26
1632	99.96323	100.000	SYMPAIR_ONLY_2	UNKNOWN	no	default/SongParser	engine	??0SongParser@@QAA@AAVInternalSongParserSink@@HAAPAVTempoMap@@AAPAVMeasureMap@@H@Z	2	1	0x8250fef8	??__EgNotifies@@YAXXZ	?SystemConfig@@YAPAVDataArray@@XZ
1632	99.96323	100.000	SYMPAIR_ONLY_2	FOLD_FANIN	no	default/SongParser	engine	??0SongParser@@QAA@AAVInternalSongParserSink@@HAAPAVTempoMap@@AAPAVMeasureMap@@H@Z	2	2	0x823d14c0	?insert@?$list@PAVCharClip@@V?$StlNodeAlloc@PAVCharClip@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@PAVCharClip@@U?$_Nonconst_traits@PAVCharClip@@@stlpmtx_std@@@2@U32@ABQAVCharClip@@@Z	?insert@?$list@W4TrackType@@V?$StlNodeAlloc@W4TrackType@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@W4TrackType@@U?$_Nonconst_traits@W4TrackType@@@stlpmtx_std@@@2@U32@ABW4TrackType@@@Z
1608	99.98756	100.000	SYMPAIR_ONLY_1	FOLD_FANIN	no	default/band3/tour/TourDesc	game	?Configure@TourDesc@@UAAXPAVDataArray@@@Z	1	1	0x82b5f808	?push_back@?$vector@PAVChatReceiver@@V?$StlNodeAlloc@PAVChatReceiver@@@stlpmtx_std@@@stlpmtx_std@@QAAXABQAVChatReceiver@@@Z	?push_back@?$vector@PAVTourDescEntry@@V?$StlNodeAlloc@PAVTourDescEntry@@@stlpmtx_std@@@stlpmtx_std@@QAAXABQAVTourDescEntry@@@Z
1596	99.98747	100.000	SYMPAIR_ONLY_1	FOLD_FANIN	no	default/EventTrigger	engine	?Cleanup@EventTrigger@@KA?AVDataNode@@PAVDataArray@@@Z	1	1	0x823d14c0	?insert@?$list@PAVCharClip@@V?$StlNodeAlloc@PAVCharClip@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@PAVCharClip@@U?$_Nonconst_traits@PAVCharClip@@@stlpmtx_std@@@2@U32@ABQAVCharClip@@@Z	?insert@?$list@PAVEventTrigger@@V?$StlNodeAlloc@PAVEventTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@PAVEventTrigger@@U?$_Nonconst_traits@PAVEventTrigger@@@stlpmtx_std@@@2@U32@ABQAVEventTrigger@@@Z
