unit	sym	billed	fuzzy	mpn	cls	n_charged	same_opcode_multiset	argkinds	src
default/LayerDir	?RefreshLayer@LayerDir@@QAAXAAVLayer@1@_N@Z	1588	96.032745	96.30982	SOURCE_INSDEL	76	False	{'register': 23, 'immediate': 46, 'branchdest': 1, 'relocname': 3}	src/system/bandobj/LayerDir.cpp
default/GemManager	?UpdateLeftyFlip@GemManager@@QAAX_N@Z	1584	99.40404	99.492424	CODEGEN_ORDERING	8	True	{'register': 6, 'immediate': 1, 'relocname': 1}	src/band3/bandtrack/GemManager.cpp
default/Geo	?MakeBSPTree@@YA_NAAPAVBSPNode@@AAV?$list@VBSPFace@@V?$StlNodeAlloc@VBSPFace@@@stlpmtx_std@@@stlpmtx_std@@H@Z	1580	84.67848	86.792404	SOURCE_INSDEL	192	False	{'register': 155, 'immediate': 37, 'opcode': 11, 'branchdest': 7, 'relocname': 1}	src/system/math/Geo.cpp
default/system/rnddx9/Rnd	?DrawRect@DxRnd@@UAAXABVRect@Hmx@@PAVRndMat@@W4ShaderType@@ABVColor@3@PBV63@4@Z	1512	0.0	0.0	NO_BODY/stub	378	False	{}	src/system/rnddx9/Rnd.cpp
default/Console	?OnMsg@RndConsole@@AAA_NABVKeyboardKeyMsg@@@Z	1500	33.858665	36.28533	SOURCE_INSDEL	394	False	{'register': 140, 'branchdest': 7, 'immediate': 56, 'opcode': 48, 'relocname': 10}	src/system/rndobj/Console.cpp
default/Mat_NG	?RefreshState@NgMat@@IAAXXZ	1456	96.59066	96.92033	SOURCE_INSDEL	45	False	{'register': 20, 'immediate': 21, 'branchdest': 3}	src/system/rndobj/Mat_NG.cpp
default/CharBonesSamples	?Relativize@CharBonesSamples@@QAAXPAVCharClip@@@Z	1448	96.472374	96.67956	SOURCE_INSDEL	25	False	{'register': 14, 'immediate': 2, 'branchdest': 1}	src/system/char/CharBonesSamples.cpp
default/Character	?PostLoad@Character@@UAAXAAVBinStream@@@Z	1440	60.383335	62.369446	SOURCE_INSDEL	280	False	{'relocname': 12, 'immediate': 11, 'register': 130, 'opcode': 37, 'branchdest': 2}	src/system/char/Character.cpp
default/GemTrack	?DrawTrackElements@GemTrack@@QAAXHH@Z	1432	97.71788	98.02514	SOURCE_INSDEL	30	False	{'register': 12, 'immediate': 8, 'relocname': 8, 'branchdest': 2}	src/band3/bandtrack/GemTrack.cpp
default/CharBones	?RotateBy@CharBones@@QBAXAAV1@@Z	1420	86.06479	91.90986	SOURCE_INSDEL	253	False	{'relocname': 6, 'immediate': 32, 'register': 413, 'opcode': 4}	src/system/char/CharBones.cpp
default/SongSortMgr	?DoesOfferMatchFilter@SongSortMgr@@QBA_NPAVStoreOffer@@PBVSongFilter@1@VSymbol@@@Z	1416	88.65254	90.16384	SOURCE_INSDEL	125	False	{'register': 98, 'relocname': 43, 'opcode': 3, 'immediate': 2, 'branchdest': 5}	src/band3/meta_band/SongSortMgr.cpp
default/OvershellPanel	?ResolveSlotStates@OvershellPanel@@QAAXXZ	1416	93.22317	93.49152	SOURCE_INSDEL	40	False	{'register': 17, 'branchdest': 2, 'immediate': 4}	src/band3/meta_band/OvershellPanel.cpp
default/OvershellSlot	?OnMsg@OvershellSlot@@QAA?AVDataNode@@ABVButtonDownMsg@@@Z	1396	99.2894	99.30373	CODEGEN_ORDERING	46	True	{'immediate': 43, 'relocname': 1}	src/band3/meta_band/OvershellSlot.cpp
default/BandCrowdMeter	?Handle@BandCrowdMeter@@UAA?AVDataNode@@PAVDataArray@@_N@Z	1384	99.42197	99.42197	CODEGEN_ORDERING	2	True	{}	src/system/bandobj/BandCrowdMeter.cpp
default/CharDriver	?Poll@CharDriver@@UAAXXZ	1372	97.58018	97.62391	SOURCE_INSDEL	14	False	{'branchdest': 2}	src/system/char/CharDriver.cpp
default/Leaderboard	?ShowData@Leaderboard@@QAAXXZ	1348	89.30564	89.79525	SOURCE_INSDEL	99	False	{'immediate': 39, 'branchdest': 1, 'opcode': 10, 'register': 32, 'relocname': 1}	src/band3/meta_band/Leaderboard.cpp
default/FlowNode	??$__uninitialized_fill_n@PAVDrivenPropertyEntry@@IV1@@stlpmtx_std@@YAPAVDrivenPropertyEntry@@PAV1@IABV1@ABU__false_type@0@@Z	1348	4.7863503	5.1721067	SOURCE_INSDEL	338	False	{'relocname': 3, 'opcode': 4, 'immediate': 2, 'register': 17, 'branchdest': 1}	src/system/flow/FlowNode.cpp
default/system/rndobj/Utl	?BuildVisit@@YAXPAVBSPNode@@@Z	1344	93.2619	94.9881	SOURCE_INSDEL	121	False	{'relocname': 5, 'immediate': 4, 'register': 112, 'opcode': 3, 'branchdest': 2}	src/system/rndobj/Utl.cpp
default/Character	?CalcBoundingSphere@Character@@UAAXXZ	1340	99.898506	99.98806	SOURCE_ARG(imm/opcode/branch)	6	True	{'register': 6, 'immediate': 4}	src/system/char/Character.cpp
default/Spotlight	?UpdateTransforms@Spotlight@@IAAXXZ	1340	93.11045	93.946266	SOURCE_INSDEL	80	False	{'immediate': 48, 'register': 56, 'opcode': 3}	src/system/world/Spotlight.cpp
default/DataFlex	yylex	1336	99.943115	99.958084	SOURCE_ARG(imm/opcode/branch)	15	True	{'immediate': 14, 'relocname': 1}	src/system/obj/DataFlex.c
default/system/rndobj/Utl	?MakeNormals@@YAXPAVRndMesh@@@Z	1332	89.78979	91.336334	SOURCE_INSDEL	109	False	{'relocname': 4, 'immediate': 5, 'register': 98, 'branchdest': 3, 'opcode': 3}	src/system/rndobj/Utl.cpp
default/StreakMeter	?SyncObjects@StreakMeter@@UAAXXZ	1328	99.39759	99.39759	CODEGEN_ORDERING	2	True	{}	src/system/bandobj/StreakMeter.cpp
default/SpotlightDrawer_NG	?RenderConeDefs@NgSpotlightDrawer@@IAAXPAVSpotlight@@ABVColor@Hmx@@@Z	1324	66.320244	68.35952	SOURCE_INSDEL	229	False	{'immediate': 55, 'register': 133, 'relocname': 2, 'opcode': 17, 'branchdest': 2}	src/system/world/SpotlightDrawer_NG.cpp
default/Rnd_Xbox	?InitBuffers@DxRnd@@AAAXXZ	1312	32.658535	34.228657	SOURCE_INSDEL	314	False	{'relocname': 3, 'immediate': 34, 'register': 92, 'opcode': 24, 'branchdest': 7}	src/system/rnddx9/Rnd_Xbox.cpp
default/Locale	?Init@Locale@@QAAXXZ	1304	89.57976	91.20552	SOURCE_INSDEL	116	False	{'opcode': 4, 'register': 96, 'relocname': 5, 'immediate': 3}	src/system/utl/Locale.cpp
default/RockCentral	?Handle@RockCentral@@UAA?AVDataNode@@PAVDataArray@@_N@Z	1296	94.104935	94.35185	CODEGEN_ORDERING	30	True	{'register': 8, 'immediate': 8}	src/band3/net_band/RockCentral.cpp
default/MusicLibrary	?Text@MusicLibrary@@UBAXHHPAVUIListLabel@@PAVUILabel@@@Z	1292	68.24768	69.98142	SOURCE_INSDEL	191	False	{'relocname': 10, 'immediate': 3, 'register': 81, 'branchdest': 22, 'opcode': 3}	src/band3/meta_band/MusicLibrary.cpp
default/Part	??0RndParticleSys@@IAA@XZ	1280	84.9625	86.025	SOURCE_INSDEL	151	False	{'relocname': 5, 'immediate': 72, 'opcode': 15, 'register': 64}	src/system/rndobj/Part.cpp
