unit,symbol,div_class,confidence,before_evidence,fuzzy,mpn,size,byte_identical,screen
default/EventTrigger,?resize@?$ObjList@UAnim@EventTrigger@@@@QAAXI@Z,call_count,stable_divergent,divergent,100.00,100.00,68,0,SURVIVES_BOTH_SCREENS
default/ExternalMic,?processGain@ExternalMic@@QAAJK@Z,call_count,input_sensitive,divergent,100.00,100.00,140,1,BYTE_IDENTICAL_ARTIFACT
default/FFT,?CalculateSinCosTable@@YAHJPAM@Z,wild_jump_match,stable_divergent,divergent,74.06,74.98,260,0,SURVIVES_BOTH_SCREENS
default/File,?OnFileAbsolutePath@@YA?AVDataNode@@PAVDataArray@@@Z,call_count,stable_divergent,divergent,100.00,100.00,84,1,BYTE_IDENTICAL_ARTIFACT
default/File,?RecursePatternInternal@@YAXPBDP6AX00@Z_N2@Z,call_count,stable_divergent,divergent,85.87,86.96,892,0,SURVIVES_BOTH_SCREENS
default/File,FileGetBase,call_count,stable_divergent,divergent,29.92,30.96,192,0,SURVIVES_BOTH_SCREENS
default/File,FileInit,call_count,stable_divergent,divergent,99.77,99.77,520,1,BYTE_IDENTICAL_ARTIFACT
default/File,FileRecursePattern,call_count,stable_divergent,divergent,100.00,100.00,8,1,BYTE_IDENTICAL_ARTIFACT
default/FileCache,?erase@?$list@PAVFileCache@@V?$StlNodeAlloc@PAVFileCache@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@PAVFileCache@@U?$_Nonconst_traits@PAVFileCache@@@stlpmtx_std@@@2@U32@0@Z,return_value,stable_divergent,divergent,0.00,2.83,92,0,SURVIVES_BOTH_SCREENS
default/FileMerger,?Filter@FileMerger@@MAA?AW4Action@MergeFilter@@PAVObject@Hmx@@0PAVObjectDir@@@Z,call_count,input_sensitive,divergent,61.79,62.14,112,0,SURVIVES_BOTH_SCREENS
default/File_Win,?FileQualifiedFilename@@YAXPADHPBD@Z,call_count,stable_divergent,divergent,60.36,61.47,144,0,SURVIVES_BOTH_SCREENS
default/FilterVersion,?Sym@DataArray@@QBA?AVSymbol@@H@Z,call_count,stable_divergent,divergent,20.75,22.31,64,0,SURVIVES_BOTH_SCREENS
default/FixedSizeSaveableStream,?GetSymbolTableSize@FixedSizeSaveableStream@@SAHH@Z,return_value,stable_divergent,divergent,100.00,100.00,20,1,BYTE_IDENTICAL_ARTIFACT
default/Flare,??0RndFlare@@IAA@XZ,object_memory,stable_divergent,divergent,100.00,100.00,468,0,SURVIVES_BOTH_SCREENS
default/FocusTracker,??0StreakFocusTracker@@QAA@PAVTrackerSource@@AAVTrackerBandDisplay@@AAVTrackerBroadcastDisplay@@@Z,object_memory,stable_divergent,divergent,100.00,100.00,184,1,BYTE_IDENTICAL_ARTIFACT
