prize	tgt_size	funclet_bytes	funclets	fuzzy	mpn	tgt_frame	base_frame	delta	direction	verdict	hard	name	reg	imm	unit	symbol
520	520	0	0	49.777	56.123	0x120	0xf0	48	RETAIL_BIGGER	UNTRIAGED					default/BoxMap	?ApplyQueuedLights@BoxMapLighting@@QBAXPIAVColor@Hmx@@PBVVector3@@@Z
512	512	0	0	0	2.773	0xa0	0xb0	-16	OURS_BIGGER	UNTRIAGED					default/QuestFilterPanel	?Text@QuestFilterProvider@@UBAXHHPAVUIListLabel@@PAVUILabel@@@Z
512	424	88	2	68.387	70.415	0x80	0x90	-16	OURS_BIGGER	UNTRIAGED					default/CameraShot	??0CamShotFrame@@QAA@PAVObject@Hmx@@@Z
508	428	80	2	98.944	98.944	0xa0	0x90	16	RETAIL_BIGGER	COLLECTABLE	1	0	0	13	default/network/net/NetSession	?Poll@NetSession@@UAAXXZ
508	508	0	0	68.126	68.992	0xb0	0xd0	-32	OURS_BIGGER	UNTRIAGED					default/TrackWatcherImpl	?Load@RndParticleSysAnim@@UAAXAAVBinStream@@@Z
500	500	0	0	18.92	21.0	0xe0	0xf0	-16	OURS_BIGGER	UNTRIAGED					default/AmbientOcclusion	?FindSplit_Mean@kdTreeNode@?$kdTree@VTriangle@@@@QAA_NABVBox@@ABV?$list@PAVTriangle@@V?$StlNodeAlloc@PAVTriangle@@@stlpmtx_std@@@stlpmtx_std@@@Z
492	492	0	0	72.789	74.415	0x90	0xa0	-16	OURS_BIGGER	UNTRIAGED					default/VelocityBuffer	?DrawMesh@RndVelocityBuffer@@QBAXPAVRndMesh@@@Z
480	480	0	0	67.25	69.542	0x70	0xa0	-48	OURS_BIGGER	UNTRIAGED					default/ProfileMgr	?LoadGlobalOptions@ProfileMgr@@QAAXAAVFixedSizeSaveableStream@@@Z
472	472	0	0	54.381	55.907	0xb0	0x90	32	RETAIL_BIGGER	UNTRIAGED					default/band3/meta_band/SongSort	?GetUserFontChar@@YAPBDPAVBandUser@@PAVMetaPerformer@@H@Z
460	460	0	0	89.557	90.6	0xc0	0xb0	16	RETAIL_BIGGER	COLLECTABLE	11	0	17	15	default/RockCentral	?DataPointToQString@RockCentral@@SAXABVDataPoint@@AAVString@Quazal@@@Z
460	460	0	0	92.374	92.635	0xa0	0x90	16	RETAIL_BIGGER	NAME-BLOCKED	11	2	3	2	default/Mesh	?SaveVertices@RndMesh@@UAAXAAVBinStream@@@Z
460	460	0	0	20.93	21.843	0x290	0xb0	480	RETAIL_BIGGER	UNTRIAGED					default/HAQManager	?GetButtonText@HAQManager@@ABA?AVString@@XZ
456	224	232	5	69.571	69.929	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/CharNeckTwist	??0CharNeckTwist@@IAA@XZ
444	400	44	1	93.75	95.15	0xc0	0xb0	16	RETAIL_BIGGER	NAME-BLOCKED	6	2	24	5	default/system/synth_xbox/Synth	?_M_insert_overflow_aux@?$vector@UXAUDIO2_SEND_DESCRIPTOR@@V?$StlNodeAlloc@UXAUDIO2_SEND_DESCRIPTOR@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUXAUDIO2_SEND_DESCRIPTOR@@ABU3@ABU__false_type@2@I_N@Z
440	440	0	0	60.491	62.582	0xe0	0xf0	-16	OURS_BIGGER	UNTRIAGED					default/system/obj/Dir	?Iterate@ObjectDir@@IAAXPAVDataArray@@_N@Z
440	440	0	0	99.955	99.955	0x90	0xa0	-16	OURS_BIGGER	COLLECTABLE	0	0	0	5	default/SampleData	?Load@SampleData@@QAAXAAVBinStream@@ABVFilePath@@@Z
436	436	0	0	23.073	23.945	0xb0	0x70	64	RETAIL_BIGGER	UNTRIAGED					default/PlayerLeaderboards	?OnSelectRow@PlayerLeaderboard@@UAA?AVSymbol@@HPAVBandUser@@@Z
428	428	0	0	10.486	11.327	0x280	0x70	528	RETAIL_BIGGER	UNTRIAGED					default/OSCMessenger	?MakeOSCAddress@OSCMessenger@@AAAHVString@@PAD@Z
428	428	0	0	51.056	53.112	0x80	0xa0	-32	OURS_BIGGER	UNTRIAGED					default/UISlider	?PostLoad@PanelDir@@UAAXAAVBinStream@@@Z
424	424	0	0	85.425	85.991	0xa0	0xb0	-16	OURS_BIGGER	NAME-BLOCKED	16	2	4	5	default/system/rndobj/Rnd	?UpdateRate@Rnd@@IAAXXZ
420	420	0	0	0	2.048	0xa0	0x100	-96	OURS_BIGGER	UNTRIAGED					default/system/utl/SongInfoAudioType	?SymbolToAudioType@@YA?AW4SongInfoAudioType@@VSymbol@@@Z
420	420	0	0	66.314	67.838	0x1490	0xc70	2080	RETAIL_BIGGER	UNTRIAGED					default/MapFile_Xbox	?GetFunction@XboxMapFile@@QAAPBDI_N@Z
416	416	0	0	0	2.548	0x80	0xd0	-80	OURS_BIGGER	UNTRIAGED					default/Character	?DrawShowing@Character@@UAAXXZ
412	412	0	0	0	2.476	0x90	0xe0	-80	OURS_BIGGER	UNTRIAGED					default/band3/meta_band/ManageBandPanel	?RefreshAll@ManageBandPanel@@QAAXXZ
404	404	0	0	81.812	83.297	0xb0	0xc0	-16	OURS_BIGGER	NAME-BLOCKED	20	5	21	6	default/SongCollision	?_M_insert_overflow_aux@?$vector@USongCollisionOutput@@V?$StlNodeAlloc@USongCollisionOutput@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUSongCollisionOutput@@ABU3@ABU__false_type@2@I_N@Z
404	404	0	0	85.208	86.644	0xc0	0xb0	16	RETAIL_BIGGER	NAME-BLOCKED	17	4	21	6	default/GemPlayer	?_M_insert_overflow_aux@?$vector@VUpcomingFretRelease@GemPlayer@@V?$StlNodeAlloc@VUpcomingFretRelease@GemPlayer@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAVUpcomingFretRelease@GemPlayer@@ABV34@ABU__false_type@2@I_N@Z
404	404	0	0	85.158	86.644	0xc0	0xb0	16	RETAIL_BIGGER	NAME-BLOCKED	17	5	21	6	default/SongParser	?_M_insert_overflow_aux@?$vector@U?$pair@HH@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@HH@stlpmtx_std@@@2@@stlpmtx_std@@IAAXPAU?$pair@HH@2@ABU32@ABU__false_type@2@I_N@Z
404	404	0	0	70.624	72.257	0xa0	0x80	32	RETAIL_BIGGER	UNTRIAGED					default/GameConfig	?GetController@GameConfig@@QBA?AVSymbol@@PAVBandUser@@@Z
400	400	0	0	99.83	99.93	0xa0	0x90	16	RETAIL_BIGGER	COLLECTABLE	0	0	2	7	default/Geo	?GeoInit@@YAXXZ
400	400	0	0	53.54	55.29	0x1d0	0x210	-64	OURS_BIGGER	UNTRIAGED					default/BandSongMgr	?ReadCachedMetadataFromStream@BandSongMgr@@UAAXAAVBinStream@@H@Z
396	356	40	1	33.292	36.326	0x90	0xd0	-64	OURS_BIGGER	UNTRIAGED					default/Tex	?SetBitmap@RndTex@@QAAXPAVFileLoader@@@Z
392	392	0	0	94.367	95.949	0xe0	0xc0	32	RETAIL_BIGGER	NAME-BLOCKED	6	7	18	9	default/HamCamTransform	?_M_fill_insert_aux@?$vector@V?$ObjOwnerPtr@VCharClip@@@@V?$StlNodeAlloc@V?$ObjOwnerPtr@VCharClip@@@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$ObjOwnerPtr@VCharClip@@@@IABV3@ABU__false_type@2@@Z
392	392	0	0	87.745	89.224	0xc0	0xd0	-16	OURS_BIGGER	NAME-BLOCKED	13	5	18	8	default/SongLayout	?_M_fill_insert_aux@?$vector@VSongPattern@@V?$StlNodeAlloc@VSongPattern@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVSongPattern@@IABV3@ABU__false_type@2@@Z
