solo_closable_B	solo_rows	sites	strength	retail_S	ours_F	units	victim_rows
128	1	1	AIRTIGHT	?GetBestStreak@SongStatusMgr@@QBAHHW4ScoreType@@W4Difficulty@@@Z	?GetBestStars@SongStatusMgr@@QBAHHW4ScoreType@@W4Difficulty@@@Z	default/AccomplishmentSongConditional	?CheckStarsCondition@AccomplishmentSongConditional@@QBA_NPAVSongStatusMgr@@VSymbol@@ABUAccomplishmentCondition@@@Z
128	1	1	AIRTIGHT	?GetBestAwesomes@SongStatusMgr@@QBAHHW4ScoreType@@W4Difficulty@@@Z	?GetBestStreak@SongStatusMgr@@QBAHHW4ScoreType@@W4Difficulty@@@Z	default/AccomplishmentSongConditional	?CheckStreakCondition@AccomplishmentSongConditional@@QBA_NPAVSongStatusMgr@@VSymbol@@ABUAccomplishmentCondition@@@Z
128	1	1	F_ungraded	?_M_erase@?$vector@VMoggClipMap@@V?$StlNodeAlloc@VMoggClipMap@@@stlpmtx_std@@@stlpmtx_std@@IAAPAVMoggClipMap@@PAV3@0ABU__false_type@2@@Z	?_M_erase@?$vector@VSfxMap@@V?$StlNodeAlloc@VSfxMap@@@stlpmtx_std@@@stlpmtx_std@@IAAPAVSfxMap@@PAV3@0ABU__false_type@2@@Z	default/Sfx	?resize@?$vector@VSfxMap@@V?$StlNodeAlloc@VSfxMap@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVSfxMap@@@Z
124	1	1	F_ungraded	?_M_insert@?$hashtable@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@HU?$hash@H@2@U?$_HashMapTraitsT@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@@2@U?$equal_to@H@2@V?$StlNodeAlloc@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAU?$pair@$$CBHPAVSongStatus@@@2@ABU32@@Z	?_M_insert@?$hashtable@U?$pair@$$CBHVSymbol@@@stlpmtx_std@@HU?$hash@H@2@U?$_HashMapTraitsT@U?$pair@$$CBHVSymbol@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBHVSymbol@@@stlpmtx_std@@@2@U?$equal_to@H@2@V?$StlNodeAlloc@U?$pair@$$CBHVSymbol@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAU?$pair@$$CBHVSymbol@@@2@ABU32@@Z	default/BandSongMgr	??A?$hash_map@HVSymbol@@U?$hash@H@stlpmtx_std@@U?$equal_to@H@3@V?$StlNodeAlloc@U?$pair@$$CBHVSymbol@@@stlpmtx_std@@@3@@stlpmtx_std@@QAAAAVSymbol@@ABH@Z
120	2	2	F_ungraded	??4?$hashtable@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@VSymbol@@U?$hash@VSymbol@@@2@U?$_HashMapTraitsT@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@2@U?$equal_to@VSymbol@@@2@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$_Rb_tree@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@U?$pair@$$CBVSymbol@@H@3@U?$_Select1st@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@U?$_MapTraitsT@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@priv@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAAAAV01@ABV01@@Z	default/TourProgress	?SetTourMostStarsMap@TourProgress@@QAAXABV?$map@VSymbol@@HU?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@@Z;?SetToursPlayedMap@TourProgress@@QAAXABV?$map@VSymbol@@HU?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@@Z
120	1	1	F_ungraded	?_M_insert@?$hashtable@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@HU?$hash@H@2@U?$_HashMapTraitsT@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@@2@U?$equal_to@H@2@V?$StlNodeAlloc@U?$pair@$$CBHPAVSongStatus@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAU?$pair@$$CBHPAVSongStatus@@@2@ABU32@@Z	?_M_insert@?$hashtable@U?$pair@$$CBHPAVSongUpgradeData@@@stlpmtx_std@@HU?$hash@H@2@U?$_HashMapTraitsT@U?$pair@$$CBHPAVSongUpgradeData@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBHPAVSongUpgradeData@@@stlpmtx_std@@@2@U?$equal_to@H@2@V?$StlNodeAlloc@U?$pair@$$CBHPAVSongUpgradeData@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAU?$pair@$$CBHPAVSongUpgradeData@@@2@ABU32@@Z	default/SongStatusMgr	??A?$hash_map@HPAVSongUpgradeData@@U?$hash@H@stlpmtx_std@@U?$equal_to@H@3@V?$StlNodeAlloc@U?$pair@$$CBHPAVSongUpgradeData@@@stlpmtx_std@@@3@@stlpmtx_std@@QAAAAPAVSongUpgradeData@@ABH@Z
120	1	1	F_ungraded	?SyncProperty@UIComponent@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	?SyncProperty@FlowSwitch@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	default/FlowWhile	?SyncProperty@FlowWhile@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
116	1	1	F_ungraded	?find_last_of@String@@QBAID@Z	?find_last_of@FixedString@@QBAID@Z	default/Str	?find_last_of@FixedString@@QBAIPBD@Z
112	1	1	F_ungraded	??4?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@PAVUIScreen@@V?$StlNodeAlloc@PAVUIScreen@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	default/UIEvent	??0NonDestructiveTransitionEvent@@QAA@PAVNetSync@@ABV?$vector@PAVUIScreen@@V?$StlNodeAlloc@PAVUIScreen@@@stlpmtx_std@@@stlpmtx_std@@@Z
112	1	1	F_ungraded	?_M_insert_overflow_aux@?$vector@V?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@V?$StlNodeAlloc@V?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@@2@@stlpmtx_std@@IAAXPAV?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@2@ABV32@ABU__true_type@2@I_N@Z	?_M_insert_overflow_aux@?$vector@V?$vector@VRangeSection@@V?$StlNodeAlloc@VRangeSection@@@stlpmtx_std@@@stlpmtx_std@@V?$StlNodeAlloc@V?$vector@VRangeSection@@V?$StlNodeAlloc@VRangeSection@@@stlpmtx_std@@@stlpmtx_std@@@2@@stlpmtx_std@@IAAXPAV?$vector@VRangeSection@@V?$StlNodeAlloc@VRangeSection@@@stlpmtx_std@@@2@ABV32@ABU__true_type@2@I_N@Z	default/SongData	?_M_fill_insert@?$vector@V?$vector@VRangeSection@@V?$StlNodeAlloc@VRangeSection@@@stlpmtx_std@@@stlpmtx_std@@V?$StlNodeAlloc@V?$vector@VRangeSection@@V?$StlNodeAlloc@VRangeSection@@@stlpmtx_std@@@stlpmtx_std@@@2@@stlpmtx_std@@AAAXPAV?$vector@VRangeSection@@V?$StlNodeAlloc@VRangeSection@@@stlpmtx_std@@@2@IABV32@@Z
112	1	1	F_ungraded	??$__introsort_loop@PAVCategory@CameraManager@@V12@HU?$less@VCategory@CameraManager@@@stlpmtx_std@@@stlpmtx_std@@YAXPAVCategory@CameraManager@@00HU?$less@VCategory@CameraManager@@@0@@Z	??$__introsort_loop@PAVSpotlightEntry@SpotlightDrawer@@V12@HVByColor@@@stlpmtx_std@@YAXPAVSpotlightEntry@SpotlightDrawer@@00HVByColor@@@Z	default/SpotlightDrawer	??$sort@PAVSpotlightEntry@SpotlightDrawer@@VByColor@@@stlpmtx_std@@YAXPAVSpotlightEntry@SpotlightDrawer@@0VByColor@@@Z
108	1	1	F_sub100	??1BitmapOverride@WorldDir@@QAA@XZ	??1EventCall@EventAnim@@QAA@XZ	default/EventAnim	?erase@?$list@VEventCall@EventAnim@@V?$StlNodeAlloc@VEventCall@EventAnim@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@VEventCall@EventAnim@@U?$_Nonconst_traits@VEventCall@EventAnim@@@stlpmtx_std@@@2@U32@0@Z
108	1	1	F_ungraded	?_M_fill_insert_aux@?$vector@PAVRndDrawable@@V?$StlNodeAlloc@PAVRndDrawable@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAPAVRndDrawable@@IABQAV3@ABU__false_type@2@@Z	?_M_fill_insert_aux@?$vector@PAVObject@Hmx@@V?$StlNodeAlloc@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAPAVObject@Hmx@@IABQAV34@ABU__false_type@2@@Z	default/FlowMultiSetProperty	?_M_fill_insert@?$vector@PAVObject@Hmx@@V?$StlNodeAlloc@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAPAVObject@Hmx@@IABQAV34@@Z
108	1	1	AIRTIGHT	??$__unguarded_linear_insert@PAPAVVert@RndMesh@@PAV12@USortByZ@@@stlpmtx_std@@YAXPAPAVVert@RndMesh@@PAV12@USortByZ@@@Z	??$__unguarded_linear_insert@PAPAVAllocInfo@@PAV1@P6A_NABQAV1@0@Z@stlpmtx_std@@YAXPAPAVAllocInfo@@PAV1@P6A_NABQAV1@2@Z@Z	default/MemTracker	??$__final_insertion_sort@PAPAVAllocInfo@@P6A_NABQAV1@0@Z@stlpmtx_std@@YAXPAPAVAllocInfo@@0P6A_NABQAV1@1@Z@Z
104	1	2	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@HVSymbol@@U?$hash@H@stlpmtx_std@@U?$equal_to@H@3@V?$StlNodeAlloc@U?$pair@$$CBHVSymbol@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	default/FixedSizeSaveableStream	??0FixedSizeSaveableStream@@QAA@PAXH_N@Z
104	1	1	F_ungraded	?SetClipType@CharDriver@@IAAXVSymbol@@@Z	??$_outline_SetClipType@$I?SetClipType@CharDriver@@IAAXVSymbol@@@ZA@A@@@YAXPAVCharDriver@@VSymbol@@@Z	default/BandCharacter	?SetClipTypes@BandCharacter@@QAAXVSymbol@@0@Z
100	1	1	F_ungraded	??1?$vector@V?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@V?$StlNodeAlloc@V?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@@2@@stlpmtx_std@@QAA@XZ	??1?$vector@V?$set@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@VSymbol@@@3@@stlpmtx_std@@V?$StlNodeAlloc@V?$set@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@VSymbol@@@3@@stlpmtx_std@@@2@@stlpmtx_std@@QAA@XZ	default/band3/game/Game	??1SongFilter@SongSortMgr@@QAA@XZ
100	1	1	F_ungraded	?GetStarsToken@@YA?AVSymbol@@H@Z	?GetSymbolForStarCount@StarDisplay@@SA?AVSymbol@@H@Z	default/StarDisplay	?GetStarCountForSymbol@StarDisplay@@SAHVSymbol@@@Z
96	1	1	AIRTIGHT	??4?$vector@VSfxMap@@V?$StlNodeAlloc@VSfxMap@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@VMoggClipMap@@V?$StlNodeAlloc@VMoggClipMap@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	default/Sfx	??4?$ObjVector@VMoggClipMap@@@@QAAXABV0@@Z
96	1	1	AIRTIGHT	??4?$vector@VMoggClipMap@@V?$StlNodeAlloc@VMoggClipMap@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@VSfxMap@@V?$StlNodeAlloc@VSfxMap@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	default/Sfx	??4?$ObjVector@VSfxMap@@@@QAAXABV0@@Z
92	1	1	F_ungraded	??4?$vector@UBone@CharBones@@V?$StlNodeAlloc@UBone@CharBones@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@U?$pair@HM@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@HM@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAV01@ABV01@@Z	default/PerformanceData	??$__copy@PBVSingerStats@@PAV1@H@stlpmtx_std@@YAPAVSingerStats@@PBV1@0PAV1@ABUrandom_access_iterator_tag@0@PAH@Z
92	1	1	F_ungraded	??1BandLabel@@UAA@XZ	??1AppLabel@@UAA@XZ	default/MetaPanel	??_DAppLabel@@QAAXXZ
88	1	1	F_ungraded	?NoteOff@DirectInstrument@@QAAXH@Z	?NoteOn@DirectInstrument@@QAAXH@Z	default/GemPlayer	?NoteOn@GemPlayer@@UAAXH@Z
88	1	1	F_ungraded	?Save@UIComponent@@UAAXAAVBinStream@@@Z	?Save@FlowSwitch@@UAAXAAVBinStream@@@Z	default/FlowWhile	?Save@FlowWhile@@UAAXAAVBinStream@@@Z
84	1	1	AIRTIGHT	?GetTrackIcon@BandTrack@@QBAPBDXZ	?UserName@BandTrack@@QBAPBDXZ	default/AppLabel	?SetUserName@AppLabel@@QAAXPAVBandTrack@@@Z
84	1	1	AIRTIGHT	??1CreditsPanel@@EAA@XZ	??1ContentLoadingPanel@@UAA@XZ	default/band3/meta_band/ContentLoadingPanel	??_GContentLoadingPanel@@UAAPAXI@Z
84	1	1	AIRTIGHT	??5@YAAAVBinStreamRev@@AAV0@AAUProxyCall@EventTrigger@@@Z	??5@YAAAVBinStreamRev@@AAV0@AAUAnim@EventTrigger@@@Z	default/EventTrigger	??$?5UAnim@EventTrigger@@@@YAAAVBinStream@@AAVBinStreamRev@@AAV?$ObjList@UAnim@EventTrigger@@@@@Z
84	1	1	AIRTIGHT	?Advance@?$ObjDirItr@VObject@Hmx@@@@AAAXXZ	?Advance@?$ObjDirItr@VCharBone@@@@AAAXXZ	default/CharServoBone	??E?$ObjDirItr@VCharBone@@@@QAAAAV0@XZ
84	1	1	AIRTIGHT	?Advance@?$ObjDirItr@VSpotlightDrawer@@@@AAAXXZ	?Advance@?$ObjDirItr@VObject@Hmx@@@@AAAXXZ	default/LightPreset	??E?$ObjDirItr@VObject@Hmx@@@@QAAAAV0@XZ
84	1	1	F_ungraded	?Advance@?$ObjDirItr@VBandList@@@@AAAXXZ	?Advance@?$ObjDirItr@VCharClipGroup@@@@AAAXXZ	default/CharClipSet	??E?$ObjDirItr@VCharClipGroup@@@@QAAAAV0@XZ
84	1	1	AIRTIGHT	?Advance@?$ObjDirItr@VRndGroup@@@@AAAXXZ	?Advance@?$ObjDirItr@VSynthSample@@@@AAAXXZ	default/CheatProvider	??E?$ObjDirItr@VSynthSample@@@@QAAAAV0@XZ
84	1	1	F_ungraded	?Advance@?$ObjDirItr@VRndMesh@@@@AAAXXZ	?Advance@?$ObjDirItr@VPanelDir@@@@AAAXXZ	default/system/rndobj/Utl	??E?$ObjDirItr@VPanelDir@@@@QAAAAV0@XZ
84	1	1	AIRTIGHT	??1ContentLoadingPanel@@UAA@XZ	??1CreditsPanel@@EAA@XZ	default/CreditsPanel	??_GCreditsPanel@@EAAPAXI@Z
84	1	1	AIRTIGHT	?Advance@?$ObjDirItr@VRndPollable@@@@AAAXXZ	?Advance@?$ObjDirItr@VRndAnimatable@@@@AAAXXZ	default/Anim	??E?$ObjDirItr@VRndAnimatable@@@@QAAAAV0@XZ
84	1	1	AIRTIGHT	?Advance@?$ObjDirItr@VRndAnimatable@@@@AAAXXZ	?Advance@?$ObjDirItr@VRndPollable@@@@AAAXXZ	default/Anim	??E?$ObjDirItr@VRndPollable@@@@QAAAAV0@XZ
84	1	1	AIRTIGHT	?insert@?$list@UInstance@RndMultiMesh@@V?$TransformListAlloc@UInstance@RndMultiMesh@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UInstance@RndMultiMesh@@U?$_Nonconst_traits@UInstance@RndMultiMesh@@@stlpmtx_std@@@2@U32@ABUInstance@RndMultiMesh@@@Z	?insert@?$list@UInstance@RndMultiMesh@@V?$StlNodeAlloc@UInstance@RndMultiMesh@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UInstance@RndMultiMesh@@U?$_Nonconst_traits@UInstance@RndMultiMesh@@@stlpmtx_std@@@2@U32@ABUInstance@RndMultiMesh@@@Z	default/TrackWidget	?DoPushInstance@?$TrackWidgetImp@UInstance@RndMultiMesh@@@@QAAXAAV?$list@UInstance@RndMultiMesh@@V?$StlNodeAlloc@UInstance@RndMultiMesh@@@stlpmtx_std@@@stlpmtx_std@@AAUInstance@RndMultiMesh@@@Z
84	1	1	F_ungraded	??1TourChar@@UAA@XZ	??1LocalePanel@@UAA@XZ	default/UI	??_GLocalePanel@@UAAPAXI@Z
84	1	1	AIRTIGHT	??4exception@std@@QAAAAV01@ABV01@@Z	?_Copy_str@exception@std@@AAAXPBD@Z	default/rtti	??0bad_cast@std@@QAA@PBD@Z
80	1	3	F_ungraded	??1Strand@CharHair@@QAA@XZ	??1DynamicPropertyEntry@Flow@@QAA@XZ	default/Flow	??$_Destroy_Range@PAUDynamicPropertyEntry@Flow@@@stlpmtx_std@@YAXPAUDynamicPropertyEntry@Flow@@0@Z
80	1	1	F_ungraded	??$__linear_insert@PAPAVPrefabChar@@PAV1@USortPrefabByPortraitFileName@@@stlpmtx_std@@YAXPAPAVPrefabChar@@0PAV1@USortPrefabByPortraitFileName@@@Z	??$__linear_insert@PAPAUEventEntry@@PAU1@UMaxSort@@@stlpmtx_std@@YAXPAPAUEventEntry@@0PAU1@UMaxSort@@@Z	default/band3/meta_band/PrefabMgr	??$__insertion_sort@PAPAUEventEntry@@PAU1@UMaxSort@@@stlpmtx_std@@YAXPAPAUEventEntry@@00UMaxSort@@@Z
80	1	1	F_ungraded	?_M_erase@?$_Rb_tree@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@U?$pair@$$CBVSymbol@@VSetlistRecord@@@3@U?$_Select1st@U?$pair@$$CBVSymbol@@VSetlistRecord@@@stlpmtx_std@@@3@U?$_MapTraitsT@U?$pair@$$CBVSymbol@@VSetlistRecord@@@stlpmtx_std@@@priv@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@VSetlistRecord@@@stlpmtx_std@@@3@@stlpmtx_std@@AAAXPAU_Rb_tree_node_base@2@@Z	?_M_erase@?$_Rb_tree@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@U?$pair@$$CBVSymbol@@H@3@U?$_Select1st@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@U?$_MapTraitsT@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@priv@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@AAAXPAU_Rb_tree_node_base@2@@Z	default/SongSortMgr	?clear@?$_Rb_tree@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@U?$pair@$$CBVSymbol@@H@3@U?$_Select1st@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@U?$_MapTraitsT@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@priv@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAAXXZ
80	1	1	AIRTIGHT	??$__linear_insert@PAPAVFileCacheEntry@@PAV1@UPriority@@@stlpmtx_std@@YAXPAPAVFileCacheEntry@@0PAV1@UPriority@@@Z	??$__linear_insert@PAPAVMoveDetector@@PAV1@UMoveDetectorCmp@@@stlpmtx_std@@YAXPAPAVMoveDetector@@0PAV1@UMoveDetectorCmp@@@Z	default/FileCache	??$__insertion_sort@PAPAVMoveDetector@@PAV1@UMoveDetectorCmp@@@stlpmtx_std@@YAXPAPAVMoveDetector@@00UMoveDetectorCmp@@@Z
80	1	1	AIRTIGHT	??$__linear_insert@PAPAVMoveDetector@@PAV1@UMoveDetectorCmp@@@stlpmtx_std@@YAXPAPAVMoveDetector@@0PAV1@UMoveDetectorCmp@@@Z	??$__linear_insert@PAPAVFileCacheEntry@@PAV1@UPriority@@@stlpmtx_std@@YAXPAPAVFileCacheEntry@@0PAV1@UPriority@@@Z	default/FileCache	??$__insertion_sort@PAPAVFileCacheEntry@@PAV1@UPriority@@@stlpmtx_std@@YAXPAPAVFileCacheEntry@@00UPriority@@@Z
80	1	1	F_ungraded	?ImportSettingsFromFont@UIFontImporter@@QAAXPAVRndFont@@@Z	?AttachImporterToFont@UIFontImporter@@QAAXPAVRndFont@@@Z	default/UIFontImporter	?OnAttachToImportFont@UIFontImporter@@IAA?AVDataNode@@PAVDataArray@@@Z
80	1	1	AIRTIGHT	??$__linear_insert@PAPAVVert@RndMesh@@PAV12@USortByZ@@@stlpmtx_std@@YAXPAPAVVert@RndMesh@@0PAV12@USortByZ@@@Z	??$__linear_insert@PAPAVAllocInfo@@PAV1@P6A_NABQAV1@0@Z@stlpmtx_std@@YAXPAPAVAllocInfo@@0PAV1@P6A_NABQAV1@2@Z@Z	default/MemTracker	??$__insertion_sort@PAPAVAllocInfo@@PAV1@P6A_NABQAV1@0@Z@stlpmtx_std@@YAXPAPAVAllocInfo@@00P6A_NABQAV1@1@Z@Z
76	1	2	F_ungraded	??1?$ObjRefConcrete@VBandCharDesc@@VObjectDir@@@@UAA@XZ	??1?$ObjOwnerPtr@VBandCharDesc@@@@UAA@XZ	default/BandCharacter	??_G?$ObjOwnerPtr@VBandCharDesc@@@@UAAPAXI@Z
76	1	2	F_ungraded	??1?$ObjRefConcrete@VRndParticleSys@@VObjectDir@@@@UAA@XZ	??1?$ObjOwnerPtr@VRndParticleSysAnim@@@@UAA@XZ	default/PartAnim	??_G?$ObjOwnerPtr@VRndParticleSysAnim@@@@UAAPAXI@Z
76	1	2	F_ungraded	??1?$ObjRefConcrete@VBandIKEffector@@VObjectDir@@@@UAA@XZ	??1?$ObjOwnerPtr@VRndMeshAnim@@@@UAA@XZ	default/MeshAnim	??_G?$ObjOwnerPtr@VRndMeshAnim@@@@UAAPAXI@Z
76	1	2	F_ungraded	??1?$ObjRefConcrete@VRndGroup@@VObjectDir@@@@UAA@XZ	??1?$ObjOwnerPtr@VSpotlight@@@@UAA@XZ	default/Spotlight	??_G?$ObjOwnerPtr@VSpotlight@@@@UAAPAXI@Z
72	1	1	F_ungraded	??0TextFile@@AAA@XZ	??0HighFiveGestureFilter@@IAA@XZ	default/Gesture	?NewObject@HighFiveGestureFilter@@SAPAVObject@Hmx@@XZ
68	1	1	F_sub100	?resize@?$vector@UDynamicPropertyEntry@Flow@@V?$StlNodeAlloc@UDynamicPropertyEntry@Flow@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABUDynamicPropertyEntry@Flow@@@Z	?resize@?$vector@VStrand@CharHair@@V?$StlNodeAlloc@VStrand@CharHair@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVStrand@CharHair@@@Z	default/CharHair	?resize@?$ObjVector@VStrand@CharHair@@@@QAAXI@Z
68	1	1	AIRTIGHT	??0SfxMap@@QAA@PAVObject@Hmx@@@Z	??0MoggClipMap@@QAA@PAVObject@Hmx@@@Z	default/Sfx	?resize@?$ObjVector@VMoggClipMap@@@@QAAXI@Z
68	1	1	AIRTIGHT	??0MoggClipMap@@QAA@PAVObject@Hmx@@@Z	??0SfxMap@@QAA@PAVObject@Hmx@@@Z	default/Sfx	?resize@?$ObjVector@VSfxMap@@@@QAAXI@Z
68	1	1	F_ungraded	??1PracticePanel@@UAA@XZ	??1FlowOnStop@@UAA@XZ	default/FlowOnStop	??_GFlowOnStop@@UAAPAXI@Z
60	2	2	F_ungraded	?find@String@@QBAIPBDI@Z	?find@FixedString@@QBAIPBDI@Z	default/Str	?contains@FixedString@@QBA_NPBD@Z;?find@FixedString@@QBAIPBD@Z
60	1	1	AIRTIGHT	?SetTrackType@BandUser@@QAAXW4TrackType@@@Z	?SetDifficulty@BandUser@@QAAXW4Difficulty@@@Z	default/BandUser	?SetDifficulty@BandUser@@QAAXVSymbol@@@Z
60	1	1	F_ungraded	??0GoalAcquisitionInfo@@QAA@ABU0@@Z	??0PracticeStep@@QAA@ABV0@@Z	default/PracticeSection	??$_Param_Construct@VPracticeStep@@V1@@stlpmtx_std@@YAXPAVPracticeStep@@ABV1@@Z
60	1	1	F_ungraded	??0ContentPoolMapping@SongSectionController@@QAA@ABV01@@Z	??0EventSink@MsgSinks@@QAA@ABU01@@Z	default/Msg	??$_Copy_Construct@UEventSink@MsgSinks@@@stlpmtx_std@@YAXPAUEventSink@MsgSinks@@ABU12@@Z
40	1	1	F_ungraded	?RemoveSink@MsgSource@@QAAXPAVObject@Hmx@@VSymbol@@@Z	?RemoveSink@Object@Hmx@@QAAXPAV12@VSymbol@@@Z	default/OnlineID	?KeyboardUnsubscribe@@YAXPAVObject@Hmx@@@Z
28	1	1	F_ungraded	??$TrimExcess@UTempoInfoPoint@MultiTempoTempoMap@@@@YAXAAV?$vector@UTempoInfoPoint@MultiTempoTempoMap@@V?$StlNodeAlloc@UTempoInfoPoint@MultiTempoTempoMap@@@stlpmtx_std@@@stlpmtx_std@@@Z	??$TrimExcess@UCompEv@DataEventList@@@@YAXAAV?$vector@UCompEv@DataEventList@@V?$StlNodeAlloc@UCompEv@DataEventList@@@stlpmtx_std@@@stlpmtx_std@@@Z	default/DataEventList	?Compact@DataEventList@@QAAXXZ
20	1	1	AIRTIGHT	?HandlePlayerSaved@Tracker@@QAAXPAVPlayer@@@Z	?HandleRemovePlayer@Tracker@@QAAXPAVPlayer@@@Z	default/TrackerManager	?HandleRemovePlayer@TrackerManager@@QAAXPAVPlayer@@@Z
20	1	1	AIRTIGHT	?HandleRemovePlayer@Tracker@@QAAXPAVPlayer@@@Z	?HandleGameOver@Tracker@@QAAXM@Z	default/TrackerManager	?HandleGameOver@TrackerManager@@QAAXM@Z
20	1	1	AIRTIGHT	?RemoteEndStreak@Tracker@@QAAXPAVPlayer@@HH@Z	?HandleRemovePlayer@Tracker@@QAAXPAVPlayer@@@Z	default/TrackerManager	?OnPlayerQuarantined@TrackerManager@@QAAXPAVPlayer@@@Z
